O GATO C01 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D11 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D11 entrou na sala de repouso, au au au ...
O GATO C11 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C11 entrou na sala de repouso, meow meow meow ...
O CACHORRO D12 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D12 entrou na sala de repouso, au au au ...
O GATO C12 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C12 entrou na sala de repouso, meow meow meow ...
O CACHORRO D13 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D13 entrou na sala de repouso, au au au ...
O GATO C13 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C13 entrou na sala de repouso, meow meow meow ...
O CACHORRO D14 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D14 entrou na sala de repouso, au au au ...
O GATO C14 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C14 entrou na sala de repouso, meow meow meow ...
O CACHORRO D15 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D15 entrou na sala de repouso, au au au ...
O GATO C15 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C15 entrou na sala de repouso, meow meow meow ...
O CACHORRO D16 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D16 entrou na sala de repouso, au au au ...
O GATO C16 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C16 entrou na sala de repouso, meow meow meow ...
O CACHORRO D17 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D17 entrou na sala de repouso, au au au ...
O GATO C17 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C17 entrou na sala de repouso, meow meow meow ...
O CACHORRO D18 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D18 entrou na sala de repouso, au au au ...
O GATO C18 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C18 entrou na sala de repouso, meow meow meow ...
O CACHORRO D19 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D19 entrou na sala de repouso, au au au ...
O GATO C19 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C19 entrou na sala de repouso, meow meow meow ...
O CACHORRO D20 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D20 entrou na sala de repouso, au au au ...
O GATO C20 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C20 entrou na sala de repouso, meow meow meow ...
O CACHORRO D21 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D21 entrou na sala de repouso, au au au ...
O GATO C21 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C21 entrou na sala de repouso, meow meow meow ...
O CACHORRO D22 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D22 entrou na sala de repouso, au au au ...
O GATO C22 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C22 entrou na sala de repouso, meow meow meow ...
O CACHORRO D23 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D23 entrou na sala de repouso, au au au ...
O GATO C23 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C23 entrou na sala de repouso, meow meow meow ...
O CACHORRO D24 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D24 entrou na sala de repouso, au au au ...
O GATO C24 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C24 entrou na sala de repouso, meow meow meow ...
O CACHORRO D25 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D25 entrou na sala de repouso, au au au ...
O GATO C25 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C25 entrou na sala de repouso, meow meow meow ...
O CACHORRO D26 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D26 entrou na sala de repouso, au au au ...
O GATO C26 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C26 entrou na sala de repouso, meow meow meow ...
O CACHORRO D27 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D27 entrou na sala de repouso, au au au ...
O GATO C27 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C27 entrou na sala de repouso, meow meow meow ...
O CACHORRO D28 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D28 entrou na sala de repouso, au au au ...
O GATO C28 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C28 entrou na sala de repouso, meow meow meow ...
O CACHORRO D29 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D29 entrou na sala de repouso, au au au ...
O GATO C29 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C29 entrou na sala de repouso, meow meow meow ...
O CACHORRO D30 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D30 entrou na sala de repouso, au au au ...
O GATO C30 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C30 entrou na sala de repouso, meow meow meow ...
O CACHORRO D31 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D31 entrou na sala de repouso, au au au ...
O GATO C31 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C31 entrou na sala de repouso, meow meow meow ...
O CACHORRO D32 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D32 entrou na sala de repouso, au au au ...
O GATO C32 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C32 entrou na sala de repouso, meow meow meow ...
O CACHORRO D33 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D33 entrou na sala de repouso, au au au ...
O GATO C33 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C33 entrou na sala de repouso, meow meow meow ...
O CACHORRO D34 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D34 entrou na sala de repouso, au au au ...
O GATO C34 está tentando entrar na sala de repouso, toc toc toc ...
O GATO C34 entrou na sala de repouso, meow meow meow ...
O CACHORRO D35 está tentando entrar na sala de repouso, toc toc toc ...
O CACHORRO D35 entrou na sala de repouso, au au au ...
O GATO C01 saiu da sala de repouso, meow meow meow ...
O CACHORRO D02 saiu da sala de repouso, au au au ...
O CACHORRO D01 saiu da sala de repouso, au au au ...
O CACHORRO D04 saiu da sala de repouso, au au au ...
O CACHORRO D03 saiu da sala de repouso, au au au ...
O GATO C02 saiu da sala de repouso, meow meow meow ...
O GATO C03 saiu da sala de repouso, meow meow meow ...
O GATO C04 saiu da sala de repouso, meow meow meow ...
O CACHORRO D05 saiu da sala de repouso, au au au ...
O GATO C05 saiu da sala de repouso, meow meow meow ...
O CACHORRO D06 saiu da sala de repouso, au au au ...
O GATO C06 saiu da sala de repouso, meow meow meow ...
O CACHORRO D07 saiu da sala de repouso, au au au ...
O GATO C07 saiu da sala de repouso, meow meow meow ...
O CACHORRO D08 saiu da sala de repouso, au au au ...
O GATO C08 saiu da sala de repouso, meow meow meow ...
O CACHORRO D09 saiu da sala de repouso, au au au ...
O GATO C09 saiu da sala de repouso, meow meow meow ...
O CACHORRO D10 saiu da sala de repouso, au au au ...
O GATO C10 saiu da sala de repouso, meow meow meow ...
O CACHORRO D11 saiu da sala de repouso, au au au ...
O GATO C11 saiu da sala de repouso, meow meow meow ...
O CACHORRO D12 saiu da sala de repouso, au au au ...
O GATO C12 saiu da sala de repouso, meow meow meow ...
O CACHORRO D13 saiu da sala de repouso, au au au ...
O GATO C13 saiu da sala de repouso, meow meow meow ...
O CACHORRO D14 saiu da sala de repouso, au au au ...
O GATO C14 saiu da sala de repouso, meow meow meow ...
O CACHORRO D15 saiu da sala de repouso, au au au ...
O GATO C15 saiu da sala de repouso, meow meow meow ...
O CACHORRO D16 saiu da sala de repouso, au au au ...
O GATO C16 saiu da sala de repouso, meow meow meow ...
O CACHORRO D17 saiu da sala de repouso, au au au ...
O GATO C17 saiu da sala de repouso, meow meow meow ...
O CACHORRO D18 saiu da sala de repouso, au au au ...
O GATO C18 saiu da sala de repouso, meow meow meow ...
O CACHORRO D19 saiu da sala de repouso, au au au ...
O GATO C19 saiu da sala de repouso, meow meow meow ...
O CACHORRO D20 saiu da sala de repouso, au au au ...
O GATO C20 saiu da sala de repouso, meow meow meow ...
O CACHORRO D21 saiu da sala de repouso, au au au ...
O GATO C21 saiu da sala de repouso, meow meow meow ...
O CACHORRO D22 saiu da sala de repouso, au au au ...
O GATO C22 saiu da sala de repouso, meow meow meow ...
O CACHORRO D23 saiu da sala de repouso, au au au ...
O GATO C23 saiu da sala de repouso, meow meow meow ...
O CACHORRO D24 saiu da sala de repouso, au au au ...
O GATO C24 saiu da sala de repouso, meow meow meow ...
O CACHORRO D25 saiu da sala de repouso, au au au ...
O GATO C25 saiu da sala de repouso, meow meow meow ...
O CACHORRO D26 saiu da sala de repouso, au au au ...
O GATO C26 saiu da sala de repouso, meow meow meow ...
O CACHORRO D27 saiu da sala de repouso, au au au ...
O GATO C27 saiu da sala de repouso, meow meow meow ...
O CACHORRO D28 saiu da sala de repouso, au au au ...
O GATO C28 saiu da sala de repouso, meow meow meow ...
O CACHORRO D29 saiu da sala de repouso, au au au ...
O GATO C29 saiu da sala de repouso, meow meow meow ...
O CACHORRO D30 saiu da sala de repouso, au au au ...
O GATO C30 saiu da sala de repouso, meow meow meow ...
O CACHORRO D31 saiu da sala de repouso, au au au ...
O GATO C31 saiu da sala de repouso, meow meow meow ...
O CACHORRO D32 saiu da sala de repouso, au au au ...
O GATO C32 saiu da sala de repouso, meow meow meow ...
O CACHORRO D33 saiu da sala de repouso, au au au ...
O GATO C33 saiu da sala de repouso, meow meow meow ...
O CACHORRO D34 saiu da sala de repouso, au au au ...
O GATO C34 saiu da sala de repouso, meow meow meow ...
O CACHORRO D35 saiu da sala de repouso, au au au ...
